LA_female,FA_female,publication_month,publication_year,i_covid,n_authors,journal_id,log_altmetric,log_cites,log_twitter_all,log_twitter_scientist,log_twitter_commun,log_twitter_public,log_twitter_pract,log_news,log_policy,log_wiki,log_blogs,gender_combination,gender_combo
1,0,1,2015,0,12,CIRCULATION RESEARCH,.22314355,3.2580965,.69314718,.69314718,0,0,0,0,0,0,0,mixed gender team,mixed gender team
0,1,1,2015,0,18,CIRCULATION,1.9810015,4.3040652,0,0,0,0,0,0,0,1.0986123,0,mixed gender team,mixed gender team
0,0,1,2015,0,4,CIRCULATION,2.0281482,3.0445225,2.4849067,.69314718,.69314718,1.9459101,1.0986123,0,0,0,0,men first and last,men first and last
0,0,1,2015,0,17,CIRCULATION RESEARCH,.22314355,4.6913481,1.0986123,0,0,.69314718,0,0,0,0,0,men first and last,men first and last
0,,1,2015,0,6,CIRCULATION RESEARCH,1.6094379,4.3040652,.69314718,0,0,.69314718,0,0,0,.69314718,0,,
1,0,1,2015,0,11,CIRCULATION,2.7868614,4.8040209,2.7725887,1.6094379,.69314718,2.0794415,.69314718,0,0,0,.69314718,mixed gender team,mixed gender team
0,0,1,2015,0,8,EUROPEAN HEART JOURNAL,4.0707345,3.9120231,2.7725887,0,0,2.3978953,1.0986123,1.9459101,0,0,0,men first and last,men first and last
0,,1,2015,0,15,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,1.9095426,3.7612002,1.9459101,0,.69314718,1.6094379,0,0,0,1.3862944,0,,
0,0,1,2015,0,20,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,5.8396878,3.8918202,1.3862944,0,0,1.0986123,0,3.8066626,0,0,.69314718,men first and last,men first and last
0,0,1,2015,0,14,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,1.9947003,4.1271343,1.9459101,.69314718,0,1.6094379,.69314718,0,.69314718,0,0,men first and last,men first and last
0,1,1,2015,0,6,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,5.821269,5.0304379,4.5538769,2.8332133,.69314718,3.9889841,2.4849067,3.583519,.69314718,0,1.3862944,mixed gender team,mixed gender team
0,0,1,2015,0,10,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,2.8390784,5.0625949,3.3322046,.69314718,1.0986123,2.6390574,2.3025851,0,0,0,0,men first and last,men first and last
0,0,1,2015,0,33,CIRCULATION,3.6467545,6.0426331,2.8903718,1.7917595,0,1.3862944,1.7917595,1.6094379,0,0,0,men first and last,men first and last
1,1,1,2015,0,18,CIRCULATION,4.634923,4.3694477,3.4965076,1.7917595,1.0986123,2.8903718,1.3862944,2.3978953,0,0,1.0986123,women first and last,women first and last
0,0,1,2015,0,9,EUROPEAN HEART JOURNAL,.4054651,4.4998097,.69314718,0,0,.69314718,0,0,0,0,0,men first and last,men first and last
0,0,1,2015,0,6,EUROPEAN HEART JOURNAL,4.451436,6.1290503,2.0794415,0,0,1.6094379,.69314718,2.4849067,0,0,0,men first and last,men first and last
1,,1,2015,0,11,CIRCULATION RESEARCH,1.3862944,4.3040652,0,0,0,0,0,0,0,0,0,,
1,0,1,2015,0,10,CIRCULATION RESEARCH,.69314718,6.1420374,1.0986123,0,.69314718,.69314718,0,0,0,0,0,mixed gender team,mixed gender team
0,0,1,2015,0,12,CIRCULATION,1.011601,3.8918202,1.7917595,0,0,1.3862944,0,0,0,0,0,men first and last,men first and last
1,0,1,2015,0,15,CIRCULATION RESEARCH,2.2246234,5.2574954,2.7725887,1.0986123,1.3862944,2.0794415,1.0986123,0,0,0,0,mixed gender team,mixed gender team
1,1,1,2015,0,8,CIRCULATION,2.3223877,5.1590552,1.9459101,0,0,1.7917595,0,0,0,0,0,women first and last,women first and last
0,0,1,2015,0,11,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,5.5082054,4.0604429,4.2341065,2.1972246,1.0986123,3.8066626,2.5649493,3.583519,0,0,.69314718,men first and last,men first and last
0,0,1,2015,0,10,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,3.3006401,4.2766662,1.9459101,0,1.0986123,1.6094379,0,1.0986123,0,0,.69314718,men first and last,men first and last
0,1,1,2015,0,12,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,1.0986123,4.1431346,1.3862944,0,0,1.3862944,0,0,0,0,0,mixed gender team,mixed gender team
